record id,title,number of Hebrew words,number of English words,number of Tokens (Hebrew ST),number of Tokens (BERiT),number of Tokens (English)
agentic_berit_200,"Genesis 10:27.2, 10:28, 10:29, 10:30.5",16,42,105,101,65
agentic_berit_201,"Genesis 10:30.1, 10:31, 10:32.5",12,68,68,62,87
agentic_berit_202,"Genesis 10:32.1, 11:1, 11:2.2",9,63,43,42,76
agentic_berit_203,"Genesis 11:1.4, 11:2, 11:3.7",20,62,93,91,75
agentic_berit_204,"Genesis 11:3.3, 11:4.6",9,69,44,40,86
agentic_berit_205,"Genesis 11:4.3, 11:5.5",8,58,40,37,72
agentic_berit_206,"Genesis 11:5.3, 11:6.13",16,56,64,61,75
agentic_berit_207,"Genesis 11:6.1, 11:7, 11:8.2",14,81,54,51,105
agentic_berit_208,"Genesis 11:7.9, 11:8, 11:9.9",27,73,111,96,96
agentic_berit_209,"Genesis 11:9.4, 11:10.8",12,53,51,43,75
agentic_berit_210,"Genesis 11:10.5, 11:11, 11:12.1",16,56,79,70,78
agentic_berit_211,"Genesis 11:11.7, 11:12, 11:13.8",22,54,109,91,74
agentic_berit_212,"Genesis 11:13.4, 11:14, 11:15.3",13,53,66,53,69
agentic_berit_213,"Genesis 11:15, 11:16.5",17,32,87,72,42
agentic_berit_214,"Genesis 11:16.2, 11:17, 11:18.1",15,45,82,68,59
agentic_berit_215,"Genesis 11:17.1, 11:18, 11:19.1",7,54,46,41,68
agentic_berit_216,"Genesis 11:19.6, 11:20, 11:21.7",20,52,97,84,66
agentic_berit_217,"Genesis 11:21.3, 11:22, 11:23.4",13,54,60,51,68
agentic_berit_218,"Genesis 11:23, 11:24, 11:25.1",18,55,87,78,69
agentic_berit_219,"Genesis 11:24.5, 11:25, 11:26.3",20,49,96,86,66
agentic_berit_220,"Genesis 11:26, 11:27.1",8,32,49,49,50
agentic_berit_221,"Genesis 11:27.6, 11:28, 11:29.5",20,74,89,81,114
agentic_berit_222,"Genesis 11:29.1, 11:30.4",5,41,20,19,67
agentic_berit_223,"Genesis 11:30, 11:31.14",20,30,83,77,51
agentic_berit_224,"Genesis 11:31.1, 11:32.5",6,64,31,28,94
agentic_berit_225,"Genesis 11:32.1, 12:1.9",10,71,57,54,97
agentic_berit_226,"Genesis 12:1.5, 12:2, 12:3.3",16,85,83,87,107
agentic_berit_227,"Genesis 12:3, 12:4.1",10,45,48,46,54
agentic_berit_228,"Genesis 12:4.5, 12:5.7",12,70,65,62,88
agentic_berit_229,Genesis 12:5.4,4,54,20,18,69
agentic_berit_230,Genesis 12:5.16,16,54,89,80,69
